account_id,in_degree,out_degree,total_in,ratio,avg_retention_hours,probabilidade_fraude,predicao_classe,is_fraud_real,role
acc014958,4,2,15828.16,0.17015106610555739,159.03194444444443,0.0042190105,0,0,Honest
acc032333,2,2,3246.27,1.0860985497246078,-368.81375,0.0020627237,0,0,Honest
acc021462,0,2,0.0,0.0,9999.0,0.0023856927,0,0,Honest
acc002326,4,4,83173.59,0.8754763530735715,-48.39833333333333,0.99259865,1,1,Mule
acc004656,23,1,438247.08,0.003283193506202174,-908.0783333334044,0.9920724,1,1,Boss
acc035376,0,2,0.0,0.0,9999.0,0.0023856927,0,0,Honest
acc038566,3,3,2028.9299999999998,5.753570830088618,-496.57657407402667,0.0010410447,0,0,Honest
acc039477,1,4,577.74,14.88060579835569,1145.7170138888532,0.0014545663,0,0,Honest
acc032716,6,1,30768.46,0.08111225550051725,-944.4248611111111,0.019969035,0,0,Honest
acc038597,2,3,3421.9700000000003,1.7745778759665456,-502.11481481479115,0.0015138369,0,0,Honest
acc007080,2,1,15587.25,0.09632674376381738,354.30027777777775,0.0035691198,0,0,Honest
acc020520,2,5,14183.5,1.1997784751447278,1.6674166666666665,0.02168854,0,0,Honest
acc043940,3,2,3472.59,0.2822035362552554,-442.13152777784893,0.0033291136,0,0,Honest
acc011655,1,3,1807.13,2.1695386079661785,545.8823148148622,0.0013950724,0,0,Honest
acc036803,3,2,5854.6,0.39417484683010484,1000.4178703703466,0.0027270839,0,0,Honest
acc018585,3,1,5760.88,0.026926395053542072,1051.4595370370132,0.0026890645,0,0,Honest
acc010771,2,3,402.53,8.124310627515278,-603.6921296296534,0.0010410447,0,0,Honest
acc044740,1,5,957.01,7.659589141292763,1319.2626111111113,0.0014545663,0,0,Honest
acc005642,4,0,6500.64,0.0,0.0,0.0025221691,0,0,Honest
acc007927,2,7,5248.54,10.017749664192966,-484.94547619043556,0.0023315893,0,0,Honest
acc014449,4,1,4038.26,0.19580166754575598,376.2427083333689,0.0044310675,0,0,Honest
acc040071,2,3,3596.71,7.364507106474788,-175.66856481479113,0.0010977717,0,0,Honest
acc014074,5,3,29902.28,1.055104475275974,-456.70351851854224,0.12474784,0,0,Honest
acc029310,3,3,17096.079999999998,0.8512466885703108,756.7540740740978,0.06167361,0,0,Honest
acc041699,0,4,0.0,0.0,9999.0,0.0031904017,0,0,Honest
acc006648,2,1,1245.5,0.7055583656494127,812.2419444444445,0.003153038,0,0,Honest
acc022958,3,3,4651.360000000001,5.426061568957102,-159.8710185184711,0.0014211038,0,0,Honest
acc021212,4,9,76260.34,0.915112899429389,-103.71515432099557,0.99259865,1,1,Mule
acc043555,31,2,597053.24,0.0065971000074113995,-403.83400537635555,0.9920724,1,1,Boss
acc007179,1,4,1572.28,11.8892443505969,-1058.9118055555555,0.001687823,0,0,Honest
acc036503,3,1,3279.74,0.3954996569860508,744.2689814814577,0.002511134,0,0,Honest
acc004789,0,3,0.0,0.0,9999.0,0.0023856927,0,0,Honest
acc014049,3,4,7137.62,4.974816570766487,-364.90363425927114,0.0038031626,0,0,Honest
acc030059,1,3,1959.47,3.2034876599914264,-228.78444444437332,0.00133028,0,0,Honest
acc015215,2,1,2673.5,0.2617308332491743,515.6704166666667,0.0026521224,0,0,Honest
acc024636,3,1,3057.3500000000004,0.35725266242771536,-740.6912962962489,0.002735827,0,0,Honest
acc018292,2,2,3472.61,0.2195834845160138,-78.40861111111111,0.0021542287,0,0,Honest
acc028928,3,2,13818.039999999999,0.17026787426590584,-563.6731481481245,0.0017009904,0,0,Honest
acc027876,1,1,1162.7,0.14131640735867068,129.86138888888888,0.0022605644,0,0,Honest
acc002495,4,3,15312.96,1.1396548154930102,414.50766203697776,0.0053220056,0,0,Honest
acc031631,2,3,13132.34,1.2350356181490745,-171.59935185180444,0.0055097523,0,0,Honest
acc009098,1,5,2166.28,2.7268879051281214,679.7798888888889,0.0014751055,0,0,Honest
acc011297,4,1,16560.47,0.01976029680299122,-1041.0929861111467,0.0025870083,0,0,Honest
acc031078,1,1,2055.54,0.9162122059789349,-1171.9388888888889,0.0025291545,0,0,Honest
acc009529,3,3,3189.35,1.7879072917450523,322.76759259271114,0.0018110806,0,0,Honest
acc037299,1,3,117.24,25.70422174840085,-318.30453703701335,0.0014694226,0,0,Honest
acc010015,3,1,5717.83,0.08051292096316091,457.47648148145777,0.0030887362,0,0,Honest
acc020303,1,6,9943.32,3.3171472735994882,-121.70300925930665,0.003571668,0,0,Honest
acc016512,4,2,11744.9,0.7529236069071624,43.745902777813335,0.00994181,0,0,Honest
acc034536,3,1,5521.39,0.32393595827145283,610.7143518518756,0.0027270839,0,0,Honest
acc016343,3,1,5234.4,1.374473913965471,468.9566666667378,0.004911685,0,0,Honest
acc015305,4,3,12992.09,0.7467460995528051,-5.366643518506667,0.0056611216,0,0,Honest
acc023623,2,0,2539.44,0.0,0.0,0.0023020545,0,0,Honest
acc035765,4,3,5895.78,0.43530044319760375,-292.58937500003555,0.0032327257,0,0,Honest
acc022355,3,2,5060.26,0.6518426882360031,210.11342592597333,0.00327241,0,0,Honest
acc044971,1,1,10660.41,0.15453143497160524,1578.0916666666667,0.0049828156,0,0,Honest
acc024060,2,1,1747.61,1.0457822638788754,407.80930555555557,0.0022250526,0,0,Honest
acc040486,2,4,13970.52,0.26974424019704335,-305.90590277781337,0.008522932,0,0,Honest
acc028420,6,3,16709.11,0.4290004500536234,-276.1843518518044,0.016584676,0,0,Honest
acc009713,2,1,4002.58,0.42949690075675995,250.0323611111111,0.0043841847,0,0,Honest
acc014521,3,2,4756.56,0.9658703645694269,-59.16421296298666,0.0025387711,0,0,Honest
acc004768,1,3,1451.57,22.523085189930974,-424.74398148152886,0.0010410447,0,0,Honest
acc025396,2,2,1962.0300000000002,7.493032761819331,-426.9176388888889,0.0010410447,0,0,Honest
acc042361,3,5,3513.29,1.8930350382830958,-434.67577777784885,0.0026347872,0,0,Honest
acc011915,1,2,1053.22,1.0373517655213012,1116.401388888889,0.0027212854,0,0,Honest
acc027421,1,1,868.75,1.3497168377917952,-768.85,0.0019792384,0,0,Honest
acc044402,6,1,8054.549999999999,0.2568694006873125,950.8054166666667,0.004277114,0,0,Honest
acc016673,3,3,2264.0,2.3770566384424097,68.64527777777778,0.0011880192,0,0,Honest
acc006945,4,2,6341.2,0.31434536941687785,-183.46868055552,0.003926341,0,0,Honest
acc012864,3,2,4564.29,0.7303113292290164,228.6400925925689,0.0034452623,0,0,Honest
acc022358,1,1,1738.03,0.6404398057582104,812.0958333333333,0.003153038,0,0,Honest
acc023450,1,1,2214.34,0.18764874568157694,-707.2944444444445,0.003258761,0,0,Honest
acc003466,4,2,3787.77,0.5314115392129426,145.11097222222222,0.0023864633,0,0,Honest
acc033940,16,5,386557.83,0.013413749414576613,17.725718750008888,0.99259865,1,1,Boss
acc037336,2,1,4785.47,0.8181812482760349,143.58055555555555,0.0028883144,0,0,Honest
acc036562,3,6,23140.31,1.630857308801261,106.93162037034666,0.015732333,0,0,Honest
acc017350,3,2,8063.08,0.6242209872393835,291.21185185187556,0.0039877435,0,0,Honest
acc009885,4,1,10734.92,0.14415371129574203,243.38486111111112,0.002092253,0,0,Honest
acc033258,0,3,0.0,0.0,9999.0,0.0023856927,0,0,Honest
acc000248,6,1,13472.96,0.46924174847862055,-565.6248148147911,0.0045528426,0,0,Honest
acc001918,0,1,0.0,0.0,9999.0,0.0023856927,0,0,Honest
acc040989,3,1,4442.91,0.29695560577278,432.83574074076444,0.003110636,0,0,Honest
acc035260,1,3,1021.34,39.23935967102364,45.44370370368,0.0011800004,0,0,Honest
acc009620,1,4,420.23,61.04166666666666,415.0776388888889,0.0014545663,0,0,Honest
acc013581,4,5,7830.07,1.0769749478932527,361.1535416667022,0.007140412,0,0,Honest
acc024010,9,7,146980.84,0.799738741475505,172.99615961194667,0.99259865,1,1,Mule
acc010439,3,6,8503.68,7.406191900222139,-365.2228703703467,0.0035170822,0,0,Honest
acc026473,3,3,11746.900000000001,1.0484433778755433,-243.14342592597333,0.0071932096,0,0,Honest
acc021271,3,1,11721.31,0.029956523667982786,1205.867592592569,0.006458143,0,0,Honest
acc014398,4,2,4458.63,1.135590673389195,-578.9190972222578,0.0031609582,0,0,Honest
acc043487,5,3,6975.9800000000005,0.5631745458350713,-94.40162962958222,0.003314076,0,0,Honest
acc044917,4,3,14572.87,1.9425583686958239,217.40425925923557,0.003502375,0,0,Honest
acc041464,9,9,206617.25,0.8833141045428634,-31.076450617244447,0.99259865,1,1,Mule
acc010075,24,2,392412.71,0.006910912571845276,-228.79775462961777,0.99259865,1,1,Boss
acc027960,3,3,5241.7,2.966392646674463,-230.4611111111111,0.0028538338,0,0,Honest
acc002905,1,1,1214.53,1.1353104879213531,766.0041666666667,0.002921227,0,0,Honest
acc034958,1,3,11705.95,1.1960684984401107,-521.3685185184711,0.0076333405,0,0,Honest
acc012471,3,1,15343.31,0.6045849268606794,-83.44972222215111,0.007520682,0,0,Honest
acc007016,1,2,1321.12,1.496075329452817,1417.8645833333333,0.0043864767,0,0,Honest
acc038485,2,2,2880.92,0.511234219505507,-381.7784722222222,0.0031120188,0,0,Honest
acc044258,4,7,29262.29,1.12034904980128,149.60549603178666,0.11607063,0,0,Honest
acc010700,2,5,2463.12,6.582230738937855,-334.95241666666664,0.002430855,0,0,Honest
acc009123,1,3,13513.22,1.0892399522541982,-962.7502777777778,0.0055571217,0,0,Honest
acc011892,9,10,188758.03999999998,0.92640986702289,331.69575,0.99259865,1,1,Mule
acc014378,31,4,645480.8,0.010517183307122637,109.27492383509333,0.99259865,1,1,Boss
acc043374,1,2,2303.61,12.890433317995154,-152.14,0.0010607606,0,0,Honest
acc019921,2,2,3752.26,0.40378490886849827,627.4251388888889,0.002511134,0,0,Honest
acc037451,4,1,5876.53,0.15485472744165785,671.9399305555911,0.0026890645,0,0,Honest
acc032481,1,2,910.01,57.42710050328565,-1154.0169444444443,0.0011580709,0,0,Honest
acc002871,0,6,0.0,0.0,9999.0,0.0032509647,0,0,Honest
acc043297,3,4,4021.19,4.123127424649358,1038.0095833332623,0.0014655036,0,0,Honest
acc025932,0,2,0.0,0.0,9999.0,0.0023856927,0,0,Honest
acc028920,4,4,67024.54000000001,0.7939751926719388,20.0375,0.99259865,1,1,Mule
acc026737,22,1,506755.63,0.004181246014351216,302.63824494947556,0.99259865,1,1,Boss
acc022879,1,3,983.08,5.1289200378398725,-363.37175925923555,0.0011605655,0,0,Honest
acc028510,3,3,3401.2799999999997,2.110681535535047,-5.521296296391111,0.0013323906,0,0,Honest
acc003671,0,3,0.0,0.0,9999.0,0.0023856927,0,0,Honest
acc035486,2,6,12405.54,1.6574517050836115,72.56893518520889,0.021161124,0,0,Honest
acc032006,2,3,26037.059999999998,0.7002688858615813,182.50162037034667,0.10702739,0,0,Honest
acc034032,3,5,15538.06,0.9769276364439085,547.2178888888178,0.010759776,0,0,Honest
acc022590,2,1,2603.91,0.7967679498602107,128.95263888888888,0.0022420818,0,0,Honest
acc038646,3,2,3093.14,1.2964227405719089,249.6273611111111,0.002559484,0,0,Honest
acc032864,17,1,353642.0,0.0013075652409056265,-914.3915196078223,0.9920724,1,1,Boss
